id,country,origin_country,shipment_mode_clean,textile_type,weight_raw,weight_unit,weight_kg,distance_km,emission_factor,carbon_footprint_kg_co2e,carbon_intensity_per_km,freight_cost_usd,line_item_value
12686,Mozambique,India,Air,Organic Cotton,See DN-304 (ID#:10589),kg,1047.0,7200.0,0.602,4538.1168,0.630294,See DN-304 (ID#:10589),1241.95
12688,Côte d'Ivoire,India,Unknown,Organic Cotton,See DN-320 (ID#:10593),kg,1047.0,8900.0,0.15,1397.745,0.15705,See DN-320 (ID#:10593),165180.0
12690,Zimbabwe,India,Truck,Organic Cotton,90,kg,90.0,7900.0,0.0626,44.5086,0.005634,1106,14820.0
12691,Zimbabwe,India,Truck,Organic Cotton,See DN-354 (ID#:10597),kg,1047.0,7900.0,0.0626,517.78338,0.0655422,See DN-354 (ID#:10597),3200.0
12694,Uganda,India,Unknown,Organic Cotton,80,kg,80.0,6200.0,0.15,74.39999999999999,0.011999999999999999,739,12825.0
12710,Côte d'Ivoire,India,Unknown,Organic Cotton,See DN-323 (ID#:10588),kg,1047.0,8900.0,0.15,1397.745,0.15705,See DN-323 (ID#:10588),24750.0
12711,Ethiopia,India,Unknown,Organic Cotton,See DN-332 (ID#:10613),kg,1047.0,7000.0,0.15,1099.35,0.15705,See DN-332 (ID#:10613),64083.2
12712,Ethiopia,India,Unknown,Organic Cotton,See DN-332 (ID#:10613),kg,1047.0,7000.0,0.15,1099.35,0.15705,See DN-332 (ID#:10613),77574.4
12714,Zambia,Germany,Unknown,Organic Cotton,885,lbs,885.0,7800.0,0.15,1035.45,0.13275,4119.6,167605.8
12715,Côte d'Ivoire,Unkown,Unknown,Organic Cotton,See DN-349 (ID#:10885),kg,1047.0,7000.0,0.15,1099.35,0.15705,See DN-349 (ID#:10885),550.48
12716,Zambia,India,Unknown,Organic Cotton,3967,kg,3967.0,7600.0,0.15,4522.38,0.59505,13094.92,68175.2
12718,Haiti,United States,Unknown,Recycled Polyester,137,lbs,137.0,1477.37412,0.15,30.360038166,0.02055,1732.74,43200.0
12723,Zambia,Japan,Unknown,Recycled Polyester,See DN-380 (ID#:10622),kg,1047.0,7000.0,0.15,1099.35,0.15705,See DN-380 (ID#:10622),8.72
12724,Nigeria,India,Air,Organic Cotton,See DN-373 (ID#:10623),kg,1047.0,8100.0,0.602,5105.381399999999,0.6302939999999999,See DN-373 (ID#:10623),10056.4
12729,Mozambique,India,Air,Organic Cotton,See DN-426 (ID#:10633),kg,1047.0,7200.0,0.602,4538.1168,0.630294,See DN-426 (ID#:10633),463266.0
12734,Côte d'Ivoire,India,Air,Organic Cotton,See DN-423 (ID#:11194),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-423 (ID#:11194),48.9
12735,Zimbabwe,India,Air,Organic Cotton,See DN-425 (ID#:11810),kg,1047.0,7900.0,0.602,4979.3225999999995,0.6302939999999999,See DN-425 (ID#:11810),162.8
12736,Côte d'Ivoire,India,Air,Organic Cotton,See DN-609 (ID#:11480),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-609 (ID#:11480),88000.0
12737,Côte d'Ivoire,India,Air,Organic Cotton,See DN-611 (ID#:12472),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-611 (ID#:12472),328560.0
12738,Guyana,Germany,Air,Organic Cotton,See DN-416 (ID#:12125),lbs,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-416 (ID#:12125),81049.2
12739,Côte d'Ivoire,India,Air,Organic Cotton,See DN-434 (ID#:11483),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-434 (ID#:11483),2400.0
12740,Zambia,India,Unknown,Organic Cotton,1928,kg,1928.0,7600.0,0.15,2197.9199999999996,0.28919999999999996,7194.3,140407.6
12741,Haiti,India,Air,Organic Cotton,See DN-458 (ID#:11814),kg,1047.0,16200.0,0.602,10210.762799999999,0.6302939999999999,See DN-458 (ID#:11814),8000.0
12742,Haiti,India,Air,Organic Cotton,See DN-458 (ID#:11814),kg,1047.0,16200.0,0.602,10210.762799999999,0.6302939999999999,See DN-458 (ID#:11814),2635.2
12748,Côte d'Ivoire,United Kingdom,Air,Organic Cotton,See DN-446 (ID#:11204),kg,1047.0,4795.8332,0.602,3022.7848909607997,0.6302939999999999,See DN-446 (ID#:11204),34160.0
12749,Côte d'Ivoire,Germany,Air,Organic Cotton,88,lbs,88.0,4700.0,0.602,248.98719999999997,0.052975999999999995,1603.44,16563.3
12751,Nigeria,India,Air,Organic Cotton,See DN-475 (ID#:10642),kg,1047.0,8100.0,0.602,5105.381399999999,0.6302939999999999,See DN-475 (ID#:10642),2134.95
12752,Nigeria,India,Air,Organic Cotton,See DN-475 (ID#:10642),kg,1047.0,8100.0,0.602,5105.381399999999,0.6302939999999999,See DN-475 (ID#:10642),11565.0
12753,Mozambique,United Kingdom,Air,Organic Cotton,63,lbs,63.00000000000001,7000.0,0.602,265.48199999999997,0.037925999999999994,740.16,8055.6
12754,Côte d'Ivoire,India,Air,Organic Cotton,4026,kg,4026.0,8900.0,0.602,21570.5028,2.4236519999999997,13325,296000.0
12755,Nigeria,Unkown,Air,Recycled Polyester,411,kg,411.0,7000.0,0.602,1731.954,0.247422,3147,28500.0
12756,Nigeria,India,Air,Organic Cotton,See DN-535 (ID#:10658),kg,1047.0,8100.0,0.602,5105.381399999999,0.6302939999999999,See DN-535 (ID#:10658),1018.75
12759,Ethiopia,India,Air,Organic Cotton,899,kg,899.0,7000.0,0.602,3788.386,0.541198,6483,92064.5
12760,Mozambique,United Kingdom,Air,Organic Cotton,See DN-601 (ID#:10651),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-601 (ID#:10651),144690.0
12761,Uganda,India,Unknown,Organic Cotton,192,kg,192.0,6200.0,0.15,178.56,0.0288,1617.52,13764.0
12762,Zimbabwe,India,Air,Organic Cotton,See DN-488 (ID#:10652),kg,1047.0,7900.0,0.602,4979.3225999999995,0.6302939999999999,See DN-488 (ID#:10652),3200.0
12763,Haiti,India,Air,Organic Cotton,See DN-627 (ID#:10926),kg,1047.0,16200.0,0.602,10210.762799999999,0.6302939999999999,See DN-627 (ID#:10926),24450.0
12764,Mozambique,India,Air,Organic Cotton,See DN-628 (ID#:10654),kg,1047.0,7200.0,0.602,4538.1168,0.630294,See DN-628 (ID#:10654),157274.46
12766,Haiti,India,Air,Organic Cotton,See DN-614 (ID#:11219),kg,1047.0,16200.0,0.602,10210.762799999999,0.6302939999999999,See DN-614 (ID#:11219),97672.16
12770,Ethiopia,India,Air,Organic Cotton,1640,kg,1640.0,7000.0,0.602,6910.96,0.98728,11273,89680.0
12771,Uganda,India,Air,Organic Cotton,667,kg,667.0,6200.0,0.602,2489.5108,0.401534,3609.2,48100.0
12772,Côte d'Ivoire,India,Air,Organic Cotton,See DN-581 (ID#:10667),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-581 (ID#:10667),160665.08
12773,Côte d'Ivoire,India,Air,Organic Cotton,232,kg,232.0,8900.0,0.602,1243.0096,0.139664,1704.79,3535.52
12774,Uganda,India,Unknown,Organic Cotton,See DN-589 (ID#:10670),kg,1047.0,6200.0,0.15,973.7099999999999,0.15705,See DN-589 (ID#:10670),1115.2
12776,Zimbabwe,India,Air,Organic Cotton,See DN-709 (ID#:10945),kg,1047.0,7900.0,0.602,4979.3225999999995,0.6302939999999999,See DN-709 (ID#:10945),23101.2
12777,Haiti,India,Air,Organic Cotton,1586,kg,1586.0,16200.0,0.602,15467.3064,0.954772,17289,141702.75
12778,Nigeria,Unkown,Air,Organic Cotton,See DN-717 (ID#:11858),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-717 (ID#:11858),420.0
12779,Côte d'Ivoire,India,Air,Organic Cotton,408,kg,408.0,8900.0,0.602,2185.9824,0.24561599999999997,1514.68,28467.8
12800,Mozambique,India,Air,Organic Cotton,See DN-698 (ID#:10970),kg,1047.0,7200.0,0.602,4538.1168,0.630294,See DN-698 (ID#:10970),31050.0
12780,Nigeria,India,Air,Organic Cotton,See DN-737 (ID#:11533),kg,1047.0,8100.0,0.602,5105.381399999999,0.6302939999999999,See DN-737 (ID#:11533),220580.8
12781,Tanzania,India,Truck,Organic Cotton,See DN-748 (ID#:12484),kg,1047.0,5900.0,0.0626,386.69897999999995,0.0655422,See DN-748 (ID#:12484),25622.55
12782,Tanzania,India,Truck,Organic Cotton,See DN-748 (ID#:12484),kg,1047.0,5900.0,0.0626,386.69897999999995,0.0655422,See DN-748 (ID#:12484),298411.2
12783,Côte d'Ivoire,India,Air,Organic Cotton,See DN-761 (ID#:10951),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-761 (ID#:10951),10629.12
12784,Mozambique,United Kingdom,Truck,Organic Cotton,387,lbs,387.0,7000.0,0.0626,169.5834,0.024226200000000003,2107.14,13023.22
12785,Zambia,India,Truck,Organic Cotton,See DN-828 (ID#:10678),kg,1047.0,7600.0,0.0626,498.12072,0.0655422,See DN-828 (ID#:10678),89529.3
12786,Tanzania,India,Air,Organic Cotton,4289,kg,4289.0,5900.0,0.602,15233.670199999999,2.581978,24594.29,296000.0
12788,Haiti,India,Air,Organic Cotton,See DN-744 (ID#:10684),kg,1047.0,16200.0,0.602,10210.762799999999,0.6302939999999999,See DN-744 (ID#:10684),3696.0
12789,Ethiopia,India,Unknown,Organic Cotton,5184,kg,5184.0,7000.0,0.15,5443.2,0.7776,17910,119259.2
12790,Haiti,India,Air,Organic Cotton,862,kg,862.0,16200.0,0.602,8406.5688,0.5189239999999999,9711.2,7433.1
12791,Haiti,India,Air,Organic Cotton,See DN-736 (ID#:12790),kg,1047.0,16200.0,0.602,10210.762799999999,0.6302939999999999,See DN-736 (ID#:12790),4757.55
12792,Zimbabwe,India,Air,Organic Cotton,See DN-770 (ID#:10959),kg,1047.0,7900.0,0.602,4979.3225999999995,0.6302939999999999,See DN-770 (ID#:10959),23101.2
12793,Cameroon,Unkown,Air,Recycled Polyester,643,kg,643.0,7000.0,0.602,2709.602,0.387086,7805.33,64000.0
12794,Zimbabwe,Unkown,Truck,Recycled Polyester,See DN-838 (ID#:10718),kg,1047.0,7000.0,0.0626,458.7954,0.0655422,See DN-838 (ID#:10718),86840.0
12795,Haiti,Japan,Air,Recycled Polyester,See DN-686 (ID#:10691),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-686 (ID#:10691),1080.0
12796,Zambia,India,Air,Organic Cotton,4678,kg,4678.0,7600.0,0.602,21402.7856,2.816156,30610.2,162396.0
12797,Haiti,India,Air,Organic Cotton,See DN-682 (ID#:10963),kg,1047.0,16200.0,0.602,10210.762799999999,0.6302939999999999,See DN-682 (ID#:10963),2112.0
12798,Nigeria,Unkown,Air,Organic Cotton,4,kg,4.0,7000.0,0.602,16.855999999999998,0.0024079999999999996,213.75,816.0
12801,Mozambique,India,Air,Organic Cotton,See DN-698 (ID#:10970),kg,1047.0,7200.0,0.602,4538.1168,0.630294,See DN-698 (ID#:10970),16416.0
12803,Zimbabwe,India,Truck,Organic Cotton,182,kg,182.0,7900.0,0.0626,90.00628,0.011393200000000001,1593.48,25917.0
12805,Kenya,Japan,Truck,Recycled Polyester,See DN-697 (ID#:12202),kg,1047.0,7000.0,0.0626,458.7954,0.0655422,See DN-697 (ID#:12202),20.0
12806,Mozambique,India,Air,Organic Cotton,168,kg,168.0,7200.0,0.602,728.1792,0.101136,1074.95,10200.0
12808,Uganda,India,Air,Organic Cotton,46,kg,46.0,6200.0,0.602,171.69039999999998,0.027691999999999998,740.34,243.84
12809,Ethiopia,India,Air,Organic Cotton,1822,kg,1822.0,7000.0,0.602,7677.907999999999,1.096844,9742,93856.96
12810,Zimbabwe,Japan,Air,Recycled Polyester,See DN-773 (ID#:11267),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-773 (ID#:11267),5.5
12811,Zimbabwe,Japan,Truck,Recycled Polyester,See DN-774 (ID#:11268),kg,1047.0,7000.0,0.0626,458.7954,0.0655422,See DN-774 (ID#:11268),129582.0
12812,Uganda,India,Air,Organic Cotton,156,kg,156.0,6200.0,0.602,582.2544,0.09391200000000001,1282.6,18900.0
12813,Zambia,India,Truck,Organic Cotton,2641,kg,2641.0,7600.0,0.0626,1256.48216,0.1653266,2938.92,420350.0
12814,Zambia,India,Truck,Organic Cotton,4585,kg,4585.0,7600.0,0.0626,2181.3596000000002,0.287021,2938.92,472500.0
12817,Côte d'Ivoire,India,Air,Organic Cotton,See DN-1047 (ID#:12215),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-1047 (ID#:12215),13120.0
12818,Kenya,Unkown,Truck,Recycled Polyester,6074,kg,6074.0,7000.0,0.0626,2661.6268,0.3802324,1250,399980.0
12819,Tanzania,India,Truck,Organic Cotton,1608,kg,1608.0,5900.0,0.0626,593.89872,0.10066080000000001,1700.32,94703.04
12820,Haiti,India,Air,Organic Cotton,235,kg,235.0,16200.0,0.602,2291.814,0.14146999999999998,3022.74,2100.0
12821,Haiti,India,Air,Organic Cotton,See DN-860 (ID#:12820),kg,1047.0,16200.0,0.602,10210.762799999999,0.6302939999999999,See DN-860 (ID#:12820),3360.0
12822,Nigeria,United States,Air,Organic Cotton,See DN-1008 (ID#:11570),lbs,1047.0,8658.2492,0.602,5457.2425212648,0.630294,See DN-1008 (ID#:11570),76.72
12823,Nigeria,India,Air,Organic Cotton,85,kg,85.0,8100.0,0.602,414.477,0.05117,1266.05,4492.8
12870,Kenya,Unkown,Truck,Recycled Polyester,297,kg,297.0,7000.0,0.0626,130.1454,0.0185922,3616.67,34144.0
12824,Nigeria,Unkown,Air,Organic Cotton,See DN-888 (ID#:11910),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-888 (ID#:11910),105.0
12825,Nigeria,India,Air,Organic Cotton,58,kg,58.0,8100.0,0.602,282.8196,0.034915999999999996,1102.98,3057.6
12826,Pakistan,Japan,Air,Recycled Polyester,See DN-1004 (ID#:11280),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-1004 (ID#:11280),0.12
12827,Nigeria,Germany,Air,Organic Cotton,27,lbs,27.0,5400.0,0.602,87.7716,0.016254,1058,3863.4
12828,Kenya,Unkown,Truck,Recycled Polyester,6067,kg,6067.0,7000.0,0.0626,2658.5594,0.3797942,1250,400000.0
12829,Zambia,India,Truck,Organic Cotton,See DN-912 (ID#:11577),kg,1047.0,7600.0,0.0626,498.12072,0.0655422,See DN-912 (ID#:11577),472500.0
12830,Kenya,India,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,Invoiced Separately,37.7
12835,Tanzania,India,Unknown,Organic Cotton,See DN-893 (ID#:11596),kg,1047.0,5900.0,0.15,926.5949999999998,0.15704999999999997,See DN-893 (ID#:11596),157746.9
12836,Mozambique,Unkown,Air,Organic Cotton,See DN-1034 (ID#:10732),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-1034 (ID#:10732),12600.0
12837,Zimbabwe,India,Truck,Organic Cotton,See DN-1044 (ID#:10996),kg,1047.0,7900.0,0.0626,517.78338,0.0655422,See DN-1044 (ID#:10996),48040.0
12838,Mozambique,India,Air,Organic Cotton,See DN-850 (ID#:10733),kg,1047.0,7200.0,0.602,4538.1168,0.630294,See DN-850 (ID#:10733),46722.0
12839,Ethiopia,United Kingdom,Truck,Organic Cotton,25,lbs,25.0,7000.0,0.0626,10.955,0.001565,505,537.04
12840,Ethiopia,Unkown,Truck,Organic Cotton,See DN-907 (ID#:12839),kg,1047.0,7000.0,0.0626,458.7954,0.0655422,See DN-907 (ID#:12839),2500.0
12841,Ethiopia,India,Air,Organic Cotton,692,kg,692.0,7000.0,0.602,2916.0879999999997,0.41658399999999995,4983.22,3809.5
12842,Uganda,India,Air,Organic Cotton,1657,kg,1657.0,6200.0,0.602,6184.586799999999,0.9975139999999999,9995.55,172280.0
12843,Côte d'Ivoire,India,Air,Organic Cotton,See DN-1098 (ID#:12242),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-1098 (ID#:12242),5880.0
12844,Zimbabwe,India,Truck,Organic Cotton,See DN-1115 (ID#:11008),kg,1047.0,7900.0,0.0626,517.78338,0.0655422,See DN-1115 (ID#:11008),48040.0
12845,Pakistan,Japan,Air,Recycled Polyester,See DN-1147 (ID#:11610),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-1147 (ID#:11610),2800.0
12846,Pakistan,Unkown,Air,Recycled Polyester,See DN-1147 (ID#:11610),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-1147 (ID#:11610),240.0
12849,Zimbabwe,India,Truck,Organic Cotton,See DN-1115 (ID#:11008),kg,1047.0,7900.0,0.0626,517.78338,0.0655422,See DN-1115 (ID#:11008),16000.0
12850,Côte d'Ivoire,India,Air,Organic Cotton,See DN-1152 (ID#:11010),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-1152 (ID#:11010),28797.0
12851,Côte d'Ivoire,India,Air,Organic Cotton,See DN-1152 (ID#:11010),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-1152 (ID#:11010),29216.0
12852,Zambia,India,Air,Organic Cotton,893,kg,893.0,7600.0,0.602,4085.6536,0.537586,6269.7,31987.2
12853,Nigeria,Unkown,Air,Organic Cotton,1114,kg,1114.0,7000.0,0.602,4694.396000000001,0.6706280000000001,7641.1,333270.0
12854,Zambia,India,Truck,Organic Cotton,See DN-861 (ID#:11013),kg,1047.0,7600.0,0.0626,498.12072,0.0655422,See DN-861 (ID#:11013),600500.0
12857,Tanzania,India,Air,Organic Cotton,7017,kg,7017.0,5900.0,0.602,24922.980600000003,4.224234,5367.09,722235.15
12858,Ethiopia,India,Air,Organic Cotton,See DN-1060 (ID#:11618),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-1060 (ID#:11618),293005.8
12859,Ethiopia,India,Air,Organic Cotton,See DN-1061 (ID#:11019),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-1061 (ID#:11019),122650.38
12860,Ethiopia,India,Air,Organic Cotton,See DN-1062 (ID#:12256),kg,1047.0,7000.0,0.602,4412.057999999999,0.6302939999999999,See DN-1062 (ID#:12256),374875.38
12862,Nigeria,India,Air,Organic Cotton,See DN-960 (ID#:11945),kg,1047.0,8100.0,0.602,5105.381399999999,0.6302939999999999,See DN-960 (ID#:11945),20406.8
12863,Nigeria,India,Air,Organic Cotton,521,kg,521.0,8100.0,0.602,2540.5002,0.313642,4608.92,12207.8
12864,Nigeria,India,Air Charter,Organic Cotton,1364,kg,1364.0,8100.0,0.75,8286.300000000001,1.0230000000000001,Freight Included in Commodity Cost,155520.0
12865,Nigeria,India,Air Charter,Organic Cotton,See DN-1124 (ID#:11620),kg,1047.0,8100.0,0.75,6360.525,0.78525,See DN-1124 (ID#:11620),28303.56
12866,Nigeria,India,Air Charter,Organic Cotton,7627,kg,7627.0,8100.0,0.75,46334.024999999994,5.720249999999999,11492.86,773398.8
12868,Côte d'Ivoire,India,Air,Organic Cotton,2583,kg,2583.0,8900.0,0.602,13839.1974,1.5549659999999998,7608.7,267634.4
12869,Zimbabwe,India,Truck,Organic Cotton,483,kg,483.0,7900.0,0.0626,238.86282,0.0302358,2947.59,16000.0
12871,Côte d'Ivoire,India,Air,Organic Cotton,Weight Captured Separately,kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,Invoiced Separately,30400.0
12873,Nigeria,India,Air Charter,Organic Cotton,See DN-1166 (ID#:12271),kg,1047.0,8100.0,0.75,6360.525,0.78525,See DN-1166 (ID#:12271),17274.32
12874,Zimbabwe,India,Truck,Organic Cotton,See DN-1168 (ID#:11031),kg,1047.0,7900.0,0.0626,517.78338,0.0655422,See DN-1168 (ID#:11031),562400.0
12875,Mozambique,India,Truck,Organic Cotton,10053,kg,10053.0,7200.0,0.0626,4531.08816,0.6293178,10211.52,972000.0
12876,Tanzania,India,Truck,Organic Cotton,See DN-1180 (ID#:11033),kg,1047.0,5900.0,0.0626,386.69897999999995,0.0655422,See DN-1180 (ID#:11033),31928.55
12877,Nigeria,India,Air,Organic Cotton,24,kg,24.0,8100.0,0.602,117.0288,0.014448,1547.94,793.6
12878,Nigeria,India,Air,Organic Cotton,60,kg,60.0,8100.0,0.602,292.572,0.03612,1981.1,3414.4
12879,Nigeria,India,Air Charter,Organic Cotton,3162,kg,3162.0,8100.0,0.75,19209.15,2.3715,15128.37,327250.0
12883,Ghana,India,Truck,Organic Cotton,See DN-1235 (ID#:10769),kg,1047.0,7000.0,0.0626,458.7954,0.0655422,See DN-1235 (ID#:10769),83.46
12885,Nigeria,India,Air Charter,Organic Cotton,See DN-1244 (ID#:11048),kg,1047.0,8100.0,0.75,6360.525,0.78525,See DN-1244 (ID#:11048),23522.4
12886,Nigeria,India,Air Charter,Organic Cotton,See DN-1244 (ID#:11048),kg,1047.0,8100.0,0.75,6360.525,0.78525,See DN-1244 (ID#:11048),1531.4
12887,Uganda,India,Air,Organic Cotton,289,kg,289.0,6200.0,0.602,1078.6635999999999,0.17397799999999997,2798.7,27732.4
12892,Nigeria,Unkown,Air Charter,Organic Cotton,89,kg,89.0,7000.0,0.75,467.25,0.06675,7329.83,20000.0
12893,Nigeria,India,Air Charter,Organic Cotton,361,kg,361.0,8100.0,0.75,2193.075,0.27075,7329.83,36366.0
12894,Nigeria,Unkown,Air Charter,Organic Cotton,See DN-1296 (ID#:10779),kg,1047.0,7000.0,0.75,5496.749999999999,0.7852499999999999,See DN-1296 (ID#:10779),20000.0
12896,Mozambique,India,Air,Organic Cotton,376,kg,376.0,7200.0,0.602,1629.7343999999998,0.22635199999999997,2342.92,29792.0
12897,Zambia,India,Air,Organic Cotton,1921,kg,1921.0,7600.0,0.602,8788.9592,1.156442,2448.71,244860.0
12898,Mozambique,India,Truck,Organic Cotton,See DN-1332 (ID#:11663),kg,1047.0,7200.0,0.0626,471.90384,0.0655422,See DN-1332 (ID#:11663),4621.36
12899,Nigeria,India,Air Charter,Organic Cotton,143,kg,143.0,8100.0,0.75,868.7249999999999,0.10724999999999998,7445.8,14455.2
12900,Zambia,India,Truck,Organic Cotton,1970,kg,1970.0,7600.0,0.0626,937.2472,0.123322,6759.28,307351.0
12902,Haiti,India,Air,Organic Cotton,1038,kg,1038.0,16200.0,0.602,10122.9912,0.624876,11774.5,5789.7
12903,Haiti,India,Air,Organic Cotton,See DN-1373 (ID#:11062),kg,1047.0,16200.0,0.602,10210.762799999999,0.6302939999999999,See DN-1373 (ID#:11062),6300.0
12904,Haiti,India,Air,Organic Cotton,See DN-1374 (ID#:11999),kg,1047.0,16200.0,0.602,10210.762799999999,0.6302939999999999,See DN-1374 (ID#:11999),189.0
12905,Côte d'Ivoire,India,Air,Organic Cotton,2047,kg,2047.0,8900.0,0.602,10967.4166,1.232294,6739.08,206343.0
12908,Uganda,India,Air,Organic Cotton,See DN-1397 (ID#:11678),kg,1047.0,6200.0,0.602,3907.8227999999995,0.6302939999999999,See DN-1397 (ID#:11678),5458.28
12909,Uganda,India,Ocean,Organic Cotton,1118,tonnes,1118.0,6200.0,0.0117,81.09972,0.013080600000000001,7338.54,99698.4
12910,Zambia,India,Truck,Organic Cotton,See DN-1407 (ID#:11681),kg,1047.0,7600.0,0.0626,498.12072,0.0655422,See DN-1407 (ID#:11681),367712.0
12911,Côte d'Ivoire,India,Air,Organic Cotton,See DN-1422 (ID#:11682),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-1422 (ID#:11682),6043.9
12912,Uganda,India,Air,Organic Cotton,2529,kg,2529.0,6200.0,0.602,9439.239599999999,1.5224579999999999,4031.3,201568.1
12913,Côte d'Ivoire,India,Air,Organic Cotton,See DN-1427 (ID#:11683),kg,1047.0,8900.0,0.602,5609.616599999999,0.6302939999999999,See DN-1427 (ID#:11683),14225.2
12914,Nigeria,India,Air Charter,Organic Cotton,1914,kg,1914.0,8100.0,0.75,11627.55,1.4355,9341.49,193800.0
12915,Nigeria,India,Air Charter,Organic Cotton,338,kg,338.0,8100.0,0.75,2053.3500000000004,0.25350000000000006,9341.49,34211.4
12916,Nigeria,India,Air Charter,Organic Cotton,22,kg,22.0,8100.0,0.75,133.64999999999998,0.016499999999999997,9341.49,2820.0
12917,Nigeria,India,Air Charter,Organic Cotton,2847,kg,2847.0,8100.0,0.75,17295.525,2.13525,9341.49,288203.4
12918,Nigeria,India,Air Charter,Organic Cotton,1905,kg,1905.0,8100.0,0.75,11572.875,1.42875,9341.49,192796.8
12919,Zambia,India,Truck,Organic Cotton,See DN-1448 (ID#:12012),kg,1047.0,7600.0,0.0626,498.12072,0.0655422,See DN-1448 (ID#:12012),137206.98
12920,Mozambique,India,Truck,Organic Cotton,120,kg,120.0,7200.0,0.0626,54.086400000000005,0.0075120000000000004,1799.88,11420.48
12922,Ghana,United Kingdom,Truck,Organic Cotton,See DN-1473 (ID#:11358),lbs,1047.0,7000.0,0.0626,458.7954,0.0655422,See DN-1473 (ID#:11358),2.76
12923,Ghana,United Kingdom,Truck,Organic Cotton,See DN-1473 (ID#:11358),lbs,1047.0,7000.0,0.0626,458.7954,0.0655422,See DN-1473 (ID#:11358),8.96
12925,Haiti,India,Air,Organic Cotton,286,kg,286.0,16200.0,0.602,2789.1863999999996,0.17217199999999996,3842.22,6438.6
12926,Ethiopia,India,Air,Organic Cotton,1258,kg,1258.0,7000.0,0.602,5301.2119999999995,0.7573159999999999,6027.68,37331.7
12929,Kenya,Japan,Air,Recycled Polyester,1028,kg,1028.0,7000.0,0.602,4331.992,0.6188560000000001,10083.69,80.0
12935,Vietnam,India,Air,Organic Cotton,957,kg,957.0,4100.0,0.602,2362.0674,0.576114,1869.41,74871.0
12959,Zambia,Unkown,Air,Recycled Polyester,2548,kg,2548.0,7000.0,0.602,10737.271999999999,1.533896,28709.52,502400.0
12973,Haiti,India,Air,Organic Cotton,21,kg,21.0,16200.0,0.602,204.80040000000002,0.012642000000000002,304.62,685.4
12981,South Sudan,Unkown,Air,Recycled Polyester,39,kg,39.0,7000.0,0.602,164.346,0.023478,1434.98,8010.0
13004,Mozambique,Germany,Air,Organic Cotton,62,lbs,62.0,7000.0,0.602,261.268,0.037323999999999996,642.99,2740.0
13007,Burundi,Unkown,Air,Recycled Polyester,638,kg,638.0,7000.0,0.602,2688.5319999999997,0.384076,12922.07,117440.0
13016,Burundi,Unkown,Air,Recycled Polyester,34,kg,34.0,7000.0,0.602,143.276,0.020468,836.8,7777.5
13020,Haiti,Unkown,Air,Linen Blend,1,kg,1.0,7000.0,0.602,4.2139999999999995,0.0006019999999999999,969.55,49.5
13027,Vietnam,India,Air,Organic Cotton,2922,kg,2922.0,4100.0,0.602,7212.0804,1.759044,5616.02,18550.0
13038,South Africa,India,Ocean,Organic Cotton,3237,tonnes,3237.0,8450.0,0.0117,320.026005,0.0378729,10923.46,133633.92
13064,South Africa,India,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.0626,553.83159,0.0655422,Freight Included in Commodity Cost,1246.3
13091,South Africa,India,Truck,Organic Cotton,Weight Captured Separately,kg,1047.0,8450.0,0.0626,553.83159,0.0655422,Freight Included in Commodity Cost,206.97
13093,Vietnam,India,Air,Organic Cotton,1295,kg,1295.0,4100.0,0.602,3196.319,0.77959,2021.05,132135.0
13106,Vietnam,India,Air,Organic Cotton,1948,kg,1948.0,4100.0,0.602,4808.0536,1.172696,3138.25,56800.0
